lfdn,patient,oppeness,neuro,consc,agree,sociable,country,country_code,eu_country,Asia,Estonia_D,Taiwan_D,China_D,Vietnam_D,Germany_D,Japan_D,age,gender,female,profession,hdegree,bachelor,master,Buddhism,Christianity,Confucianism,Islam,Taoism,Marxism,married,parent,XD13,children,XD14,XD15,eu_income,eu_ppp_income,USD_ppp_income,income_eu_capita,IDV,PDI,MAS,UAI
3M9,1,5,4,8,6,4,Taiwan,3,0,1,0,1,0,0,0,0,45,0,1,8,PhD,1,1,0,0,0,0,1,0,1,1,2,1,3,1000,28.5714283,,66.66666412,10,85,25,10,60
3M10,1,5,8,4,8,8,Taiwan,3,0,1,0,1,0,0,0,0,36,1,0,2,Master,1,1,0,0,1,0,0,0,0,0,1,0,6,80000,10666.66699,17278.61719,22857.14258,1778,65,105,70,20
3M12,1,5,4,5,8,5,Taiwan,3,0,1,0,1,0,0,0,0,25,1,0,5,Others,0,0,0,0,0,0,0,0,0,0,1,0,1,1300,1300,1300,1733.333374,1300,150,-30,50,95
3M17,1,8,6,9,8,7,Taiwan,3,0,1,0,1,0,0,0,0,24,3,1,8,PhD,1,1,1,0,0,0,0,0,1,1,2,1,4,6000,171.4285736,922.5092163,400,43,180,-50,-40,15
3M18,1,9,6,6,9,6,Taiwan,3,0,1,0,1,0,0,0,0,45,0,1,2,Master,1,1,1,1,0,0,0,0,1,1,2,1,3,6000,171.4285736,1000,400,57,285,-5,-60,90
4M22,1,5,9,8,7,3,China,4,0,1,0,0,1,0,0,0,24,0,1,3,Bachelor,1,0,1,0,0,0,0,0,1,1,4,3,12,1500,200,323.9740906,428.5714417,17,-65,-30,40,110
3M24,1,9,5,8,9,5,Taiwan,3,0,1,0,1,0,0,0,0,45,0,1,8,PhD,1,1,1,0,1,0,1,0,1,1,2,1,3,100000,2857.142822,,6666.666504,952,115,20,-70,-20
3M27,1,9,9,4,6,6,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,2,Master,1,1,0,0,0,0,1,0,0,0,1,0,5,100000,2857.142822,,6666.666504,571,115,30,-40,-25
3M28,1,8,5,6,8,7,Taiwan,3,0,1,0,1,0,0,0,0,20,0,1,2,Bachelor,1,0,1,0,0,0,0,0,0,0,1,0,3,180000,5142.856934,,12000,1714,115,50,-100,55
3M33,1,6,6,10,8,7,Taiwan,3,0,1,0,1,0,0,0,0,22,1,0,2,Bachelor,1,0,0,0,0,0,0,0,0,0,1,0,5,123,3.514285803,4612.545898,8.199999809,1,150,-40,140,40
3M40,1,7,6,6,6,6,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,8,Bachelor,1,0,1,0,1,0,0,0,0,0,1,0,4,100000,2857.142822,750,6666.666504,714,100,-10,30,40
3M41,1,9,4,7,4,7,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,2,Master,1,1,0,0,0,0,0,0,0,0,1,0,5,400000,11428.57129,5535.055176,26666.66602,2286,115,40,110,60
3M42,1,5,5,6,7,6,Taiwan,3,0,1,0,1,0,0,0,0,23,0,1,2,Master,1,1,0,0,1,0,0,0,0,0,1,0,6,100000,2857.142822,,6666.666504,476,25,90,10,-20
3M43,0,8,3,7,6,5,Taiwan,3,0,1,0,1,0,0,0,0,24,1,0,2,Master,1,1,0,1,0,0,0,0,0,0,1,0,4,100000,2857.142822,461.2546082,6666.666504,714,150,-65,60,85
3M45,0,8,6,7,7,5,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,4,Bachelor,1,0,0,0,0,0,1,0,0,0,1,0,1,30000,857.1428833,430.6632385,2000,857,100,75,20,115
3M48,1,10,6,7,4,4,Taiwan,3,0,1,0,1,0,0,0,0,22,0,1,2,Bachelor,1,0,1,0,0,0,0,0,0,0,1,0,4,200000,5714.285645,,13333.33301,1429,35,75,220,-50
3M49,1,9,8,6,5,6,Taiwan,3,0,1,0,1,0,0,0,0,55,1,0,3,High school,0,0,0,0,0,0,1,0,0,0,1,0,4,50000,1428.571411,,3333.333252,357,95,-65,-100,10
3M50,0,5,10,5,8,5,Taiwan,3,0,1,0,1,0,0,0,0,22,0,1,2,Bachelor,1,0,0,0,1,0,0,0,0,0,1,0,6,80000,2285.714355,2121.77124,5333.333496,381,65,-25,120,60
3M51,1,8,6,8,8,5,Taiwan,3,0,1,0,1,0,0,0,0,22,0,1,2,Bachelor,1,0,0,0,1,0,0,0,0,0,1,0,6,80000,2285.714355,,5333.333496,381,130,-5,-50,-5
3M57,1,4,6,9,6,6,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,4,Bachelor,1,0,0,0,0,0,1,0,0,0,1,0,5,1000000,22857.14258,6500,53333.33203,4571,105,90,40,50
3M59,0,2,2,10,5,3,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,3,Bachelor,1,0,0,0,0,0,0,1,0,0,1,0,5,50000,1428.571411,1300,3333.333252,286,50,75,-130,55
3M60,1,5,5,6,6,5,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,2,Master,1,1,0,0,1,0,0,0,0,0,1,0,6,100000,2857.142822,600,6666.666504,476,65,-5,10,0
3M61,1,7,4,7,7,7,Taiwan,3,0,1,0,1,0,0,0,0,24,1,0,8,Bachelor,1,0,0,0,0,0,0,0,0,0,1,0,4,150000,4285.714355,,10000,1071,100,-15,110,5
3M62,1,8,7,6,5,8,Taiwan,3,0,1,0,1,0,0,0,0,24,1,0,8,Master,1,1,0,0,0,0,0,0,0,0,1,0,4,200000,5714.285645,322.997406,13333.33301,1429,65,-75,-30,25
3M63,1,10,6,10,8,7,Taiwan,3,0,1,0,1,0,0,0,0,28,1,0,4,Master,1,1,0,0,0,0,1,0,0,0,1,0,4,180000,5142.856934,,12000,1286,-65,0,20,0
3M64,1,5,7,6,6,7,Taiwan,3,0,1,0,1,0,0,0,0,22,0,1,2,Master,1,1,1,0,1,0,0,0,0,0,1,0,5,60000,1714.285767,,4000,343,130,-50,40,-5
5M66,1,9,6,3,8,6,Vitnam,5,0,1,0,0,0,1,0,0,37,0,1,3,Master,1,1,1,0,0,0,0,0,1,1,2,1,3,80000000,3018.86792,7380.07373,12307.69238,1006,100,15,-60,-25
3M67,0,7,5,6,7,4,Taiwan,3,0,1,0,1,0,0,0,0,24,0,1,8,Master,1,1,0,0,0,0,1,0,0,0,1,0,4,100000,2857.142822,,6666.666504,714,120,85,-80,85
3M69,0,7,8,5,6,6,Taiwan,3,0,1,0,1,0,0,0,0,22,1,0,2,High school,0,0,0,0,0,0,1,0,0,0,1,0,6,1000000,22857.14258,,53333.33203,3810,100,-10,-20,15
3M70,1,8,6,6,8,6,Taiwan,3,0,1,0,1,0,0,0,0,22,0,1,8,Master,1,1,1,0,1,0,0,0,0,0,1,0,3,100000,2857.142822,,6666.666504,952,130,-50,130,235
3M71,1,6,4,5,6,5,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,2,Master,1,1,1,1,0,0,0,0,0,0,1,0,4,170000,4857.143066,5000,11333.33301,1214,70,110,0,25
3M73,1,7,3,6,10,4,Taiwan,3,0,1,0,1,0,0,0,0,24,0,1,4,Bachelor,1,0,0,0,0,0,1,0,0,0,1,0,4,35000,1000,1568.265625,2333.333252,250,70,45,90,60
3M74,0,6,6,4,7,8,Taiwan,3,0,1,0,1,0,0,0,0,57,0,1,4,Others,0,0,0,1,0,0,0,0,1,1,3,2,6,120000,3428.571533,6500,8000,571,95,-45,40,15
3M75,1,6,6,6,7,6,Taiwan,3,0,1,0,1,0,0,0,0,25,0,1,4,Master,1,1,0,0,0,0,1,0,0,0,1,0,4,100000,2857.142822,4000,6666.666504,714,85,60,-20,180
3M76,1,7,3,8,6,6,Taiwan,3,0,1,0,1,0,0,0,0,25,0,1,4,Bachelor,1,0,1,0,1,0,0,0,0,0,1,0,6,36000,1028.571411,922.5092163,2400,171,120,15,70,-10
3M77,0,8,7,7,6,6,Taiwan,3,0,1,0,1,0,0,0,0,24,1,0,3,Bachelor,1,0,0,0,1,0,0,0,0,0,1,0,2,100000,2857.142822,700,6666.666504,1429,85,15,-40,50
3M78,1,7,8,4,8,7,Taiwan,3,0,1,0,1,0,0,0,0,58,1,0,4,Others,0,0,1,0,0,0,0,0,1,1,3,2,6,150000,4285.714355,,10000,714,50,25,100,0
3M79,0,7,6,7,10,6,Taiwan,3,0,1,0,1,0,0,0,0,25,0,1,8,Bachelor,1,0,0,1,0,0,0,0,0,0,1,0,5,10000,285.7142944,1500,666.666687,57,100,45,20,-90
3M80,1,6,6,7,7,6,Taiwan,3,0,1,0,1,0,0,0,0,27,1,0,4,Bachelor,1,0,1,0,0,0,0,0,0,0,1,0,4,200000,5714.285645,461.2546082,13333.33301,1429,100,15,-20,80
3M81,1,8,6,6,6,7,Taiwan,3,0,1,0,1,0,0,0,0,26,1,0,4,Master,1,1,0,0,0,0,1,0,0,0,1,0,5,180000,5142.856934,,12000,1029,135,-50,-80,-45
3M82,1,6,4,5,6,5,Taiwan,3,0,1,0,1,0,0,0,0,22,0,1,2,Master,1,1,0,0,0,0,1,0,0,0,1,0,5,700000,20000,,46666.66797,4000,70,110,0,25
3M83,0,8,7,6,9,5,Taiwan,3,0,1,0,1,0,0,0,0,25,1,0,4,Bachelor,1,0,0,0,0,0,1,0,0,0,1,0,4,35000,1000,,2333.333252,250,140,-50,300,-15
3M84,0,6,3,8,6,4,Taiwan,3,0,1,0,1,0,0,0,0,26,0,1,4,Bachelor,1,0,1,0,0,0,0,0,0,0,1,0,4,40000,1142.857178,,2666.666748,286,85,60,-100,220
3M85,1,9,6,3,6,9,Taiwan,3,0,1,0,1,0,0,0,0,26,1,0,3,Others,0,0,1,0,0,0,0,0,0,0,1,0,4,60000,1714.285767,0.009225092,4000,429,85,-50,-40,-65
3M86,1,9,5,6,8,7,Taiwan,3,0,1,0,1,0,0,0,0,20,0,1,2,Bachelor,1,0,1,0,0,0,0,0,0,0,1,0,3,180000,5142.856934,9225.091797,12000,1714,135,55,30,55
3M88,1,8,4,6,8,8,Taiwan,3,0,1,0,1,0,0,0,0,24,1,0,8,Master,1,1,0,1,0,0,0,0,0,0,1,0,5,50000,1428.571411,1000,3333.333252,286,100,10,-60,100
3M89,0,7,6,6,8,9,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,2,Master,1,1,1,0,0,0,0,0,0,0,1,0,3,100000,2857.142822,4.173072815,6666.666504,952,100,40,80,55
3M90,0,9,7,9,5,6,Taiwan,3,0,1,0,1,0,0,0,0,22,0,1,2,Master,1,1,1,0,0,0,0,0,0,0,1,0,3,70000,2000,2739.726074,4666.666504,667,100,45,50,65
3M91,1,7,6,6,7,4,Taiwan,3,0,1,0,1,0,0,0,0,24,1,0,2,Master,1,1,1,0,1,0,0,0,0,0,1,0,4,50000,1428.571411,1845.018433,3333.333252,357,150,-25,120,40
3M92,1,7,6,7,8,6,Taiwan,3,0,1,0,1,0,0,0,0,23,0,1,2,Master,1,1,0,0,1,0,0,0,0,0,1,0,7,200000,5714.285645,,13333.33301,816,35,90,10,25
3M93,1,10,4,7,2,6,Taiwan,3,0,1,0,1,0,0,0,0,23,0,1,2,Bachelor,1,0,0,1,0,0,0,0,0,0,1,0,4,200000,5714.285645,4000,13333.33301,1429,165,-55,120,155
3M94,1,4,3,9,6,6,Taiwan,3,0,1,0,1,0,0,0,0,28,1,0,4,Master,1,1,0,0,1,0,0,0,0,0,1,0,6,200000,5714.285645,,13333.33301,952,85,-50,60,140
3M95,1,6,6,6,6,5,Taiwan,3,0,1,0,1,0,0,0,0,25,1,0,3,Master,1,1,0,0,1,0,0,0,0,0,1,0,6,3500,100,,233.3333282,17,105,25,-20,80
3M96,0,9,6,5,9,6,Taiwan,3,0,1,0,1,0,0,0,0,61,0,1,5,High school,0,0,1,0,0,0,0,0,1,0,1,0,2,110000,3142.857178,,7333.333496,1571,100,-20,10,105
3M97,1,8,6,6,7,7,Taiwan,3,0,1,0,1,0,0,0,0,27,1,0,4,Master,1,1,1,0,1,0,0,0,0,0,1,0,5,150000,4285.714355,,10000,857,115,0,-60,20
3M98,1,6,8,7,7,6,Taiwan,3,0,1,0,1,0,0,0,0,22,0,1,8,Master,1,1,0,0,1,0,0,0,0,0,1,0,5,80000,2285.714355,,5333.333496,457,115,-25,-60,-10
3M99,0,8,4,4,8,5,Taiwan,3,0,1,0,1,0,0,0,0,25,0,1,4,Others,0,0,0,0,1,0,0,0,0,0,1,0,6,30000,857.1428833,538.3290405,2000,143,100,75,-120,50
3M100,0,8,7,6,7,6,Taiwan,3,0,1,0,1,0,0,0,0,25,0,1,2,Bachelor,1,0,0,0,0,0,1,0,0,0,1,0,5,200000,5714.285645,,13333.33301,1143,100,15,-60,30
3M101,1,5,8,6,6,6,Taiwan,3,0,1,0,1,0,0,0,0,28,1,0,4,Master,1,1,0,0,0,0,0,0,0,0,1,0,4,200000,5714.285645,,13333.33301,1429,105,60,100,55
